,household_income_feeling,migration_want,planning_to_move12,prepared_to_move,why_no_leave
290,2,0,,,
291,2,1,0.0,,
292,2,1,0.0,,8
293,3,1,1.0,0.0,2
294,3,1,0.0,,
295,3,1,0.0,,
296,2,1,0.0,,
297,4,1,0.0,,
298,2,0,,,
299,1,1,0.0,,
300,1,0,,,9 3 4
301,4,1,0.0,,4 3
302,2,1,0.0,,
303,99,1,0.0,,3
304,2,1,0.0,,
305,3,1,0.0,,4
306,3,0,,,
307,2,0,,,3
308,3,1,0.0,,8
309,2,0,,,
310,2,0,,,
311,2,0,,,
312,2,0,,,
313,2,0,,,
314,1,1,0.0,,6
315,1,1,0.0,,
316,2,1,1.0,0.0,
317,1,0,,,
318,2,0,,,
319,3,1,1.0,0.0,99
320,2,0,,,
321,3,0,,,
322,2,0,,,
323,4,0,,,1 9
324,2,0,,,
325,1,99,,,
326,1,0,,,
327,3,0,,,
328,2,0,,,
329,3,0,,,
330,2,0,,,
331,2,0,,,
332,3,0,,,
333,3,1,0.0,,
334,3,1,0.0,,
335,2,0,,,
336,2,1,0.0,,1 4 7
337,2,1,0.0,,
338,2,0,,,
339,2,1,0.0,,
340,2,0,,,
341,2,0,,,
342,2,0,,,
343,3,0,,,
344,4,0,,,
345,3,0,,,
346,3,0,,,
347,1,0,,,
348,3,0,,,
349,2,0,,,9
350,2,1,0.0,,
351,2,99,,,
352,2,0,,,
353,1,99,,,
354,3,1,0.0,,
355,2,1,0.0,,
356,2,0,,,9
357,2,0,,,
358,2,1,0.0,,
359,2,1,0.0,,
360,3,0,,,
361,3,1,0.0,,5
362,2,1,0.0,,
363,3,1,0.0,,3
364,2,1,0.0,,3
365,2,0,,,
366,1,1,0.0,,
367,1,0,,,
368,3,1,0.0,,3
369,2,0,,,
370,3,1,0.0,,9 1 2
371,2,1,0.0,,
372,2,1,0.0,,
373,2,1,0.0,,
374,4,1,0.0,,
375,4,1,0.0,,4 5
376,4,1,0.0,,4 5
377,3,1,0.0,,4 5
378,3,1,0.0,,
379,3,1,0.0,,
380,3,0,,,
381,2,1,0.0,,
382,4,0,,,
383,4,0,,,
384,4,1,0.0,,
385,99,1,0.0,,5
386,2,1,0.0,,
387,2,0,,,
388,3,0,,,
389,2,1,0.0,,
390,2,0,,,
391,2,0,,,
392,2,0,,,
393,2,0,,,
394,3,1,0.0,,4 7
395,4,1,0.0,,
396,4,1,0.0,,
397,4,1,0.0,,
398,2,0,,,
399,2,1,0.0,,1 3
400,2,1,0.0,,
401,2,0,,,
402,1,0,,,
403,2,0,,,
404,2,1,0.0,,
405,2,99,,,9
406,2,1,0.0,,
407,2,0,,,
408,2,1,0.0,,
409,1,1,0.0,,
410,2,1,0.0,,
411,2,0,,,
412,2,1,0.0,,1 3 5
413,3,1,0.0,,
414,4,1,0.0,,
415,1,0,,,
416,2,0,,,1 2 3
417,2,1,0.0,,
418,2,1,0.0,,
419,1,1,1.0,1.0,
420,1,1,0.0,,
421,2,0,,,
422,2,0,,,
423,2,1,0.0,,
424,1,1,0.0,,
425,2,1,0.0,,
426,4,0,,,
427,3,0,,,
428,2,0,,,
429,3,1,1.0,0.0,
430,3,0,,,
431,3,1,0.0,,
432,3,1,0.0,,5 9
433,1,1,0.0,,
434,3,0,,,
435,3,1,0.0,,
436,2,1,0.0,,
437,3,1,0.0,,
438,3,1,1.0,0.0,1 2 3
439,2,1,0.0,,8 3
440,4,0,,,
441,2,1,0.0,,
442,2,0,,,
443,2,1,0.0,,3 4
444,2,0,,,
445,3,0,,,3 4
446,3,1,0.0,,7
447,2,0,,,4 3 9
448,2,1,0.0,,3 5
449,3,1,0.0,,
450,1,0,,,
451,4,0,,,
452,4,1,0.0,,
453,4,1,0.0,,
454,2,1,0.0,,7
455,2,0,,,
456,3,1,0.0,,
457,4,1,1.0,1.0,
458,1,0,,,
459,4,1,0.0,,
460,4,1,0.0,,
461,2,1,1.0,1.0,
462,4,0,,,
463,3,1,1.0,1.0,
464,4,0,,,
465,3,1,0.0,,
466,3,1,0.0,,7 4
467,2,1,0.0,,3 4
468,2,1,0.0,,
469,2,0,,,
470,2,1,0.0,,
471,2,0,,,
472,2,1,1.0,1.0,2
473,2,0,,,9
474,2,1,0.0,,
475,2,1,0.0,,
476,4,0,,,5 3
477,1,0,,,
478,2,1,0.0,,
479,4,1,0.0,,
480,3,1,0.0,,3 4 7
481,3,0,,,
482,2,0,,,
483,2,0,,,
484,3,1,0.0,,
485,2,0,,,
486,2,1,0.0,,
487,2,0,,,
488,3,0,,,
489,2,1,0.0,,
490,1,0,,,
491,2,0,,,
492,2,0,,,
493,2,0,,,
494,2,1,0.0,,
495,2,0,,,
496,3,1,0.0,,
497,2,1,0.0,,
498,2,1,1.0,1.0,
499,3,0,,,
500,4,0,,,
501,4,1,0.0,,8
502,1,1,0.0,,
503,2,0,,,
504,3,0,,,
505,2,1,0.0,,3
506,2,0,,,
507,3,0,,,
508,2,1,0.0,,
509,2,1,99.0,,
510,2,0,,,
511,4,1,0.0,,
512,3,0,,,
513,2,0,,,5
514,1,0,,,
515,2,0,,,
516,3,1,0.0,,3
517,3,0,,,
518,3,0,,,6
519,2,0,,,
520,4,1,1.0,1.0,99
521,3,1,0.0,,2
522,2,1,0.0,,1
523,2,0,,,
524,4,1,0.0,,
525,99,1,0.0,,
526,1,0,,,
527,3,1,0.0,,
528,2,0,,,
529,4,0,,,
530,2,1,0.0,,
531,4,0,,,
532,2,1,0.0,,
533,2,1,1.0,1.0,
534,2,0,,,
535,2,1,0.0,,
536,2,1,1.0,1.0,
537,3,0,,,
538,2,0,,,
539,2,0,,,
540,2,0,,,
541,2,0,,,
542,1,0,,,
543,2,0,,,
544,2,0,,,
545,2,0,,,
546,4,0,,,
547,2,0,,,
548,2,0,,,
549,1,1,0.0,,
550,2,1,1.0,0.0,
551,2,1,0.0,,
552,2,0,,,
553,2,0,,,
554,2,0,,,
555,3,0,,,
556,2,0,,,
557,4,0,,,
558,2,1,0.0,,
559,2,1,0.0,,4
560,2,0,,,7
561,2,0,,,
562,2,1,0.0,,
